Date,You­Tube Premi­um views,End screen ele­ment clicks,Dis­likes,Likes,Sub­scribers gained,Re­turn­ing view­ers,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Videos pub­lished,Videos ad­ded,Sub­scribers,Av­er­age per­cent­age viewed (%),Views,Watch time (hours),Av­er­age view dur­a­tion
Total,2235,89,173,9338,899,0,0,8.43,450243,303,331,668,3.31,71313,4359.6509,0:03:40
2021-01-17,0,0,0,0,1,0,2,,0,0,1,1,124.38,4,0.0511,0:00:46
2021-01-18,0,0,0,2,3,0,3,,0,0,0,3,97.98,3,0.0302,0:00:36
2021-01-19,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-20,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-21,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-22,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-23,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-24,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-25,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-26,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0:00:00
2021-01-27,0,0,0,6,8,4,13,49.06,53,1,1,8,63.99,52,0.4714,0:00:32
2021-01-28,0,0,0,0,0,2,2,14.29,21,0,0,0,50.87,5,0.036,0:00:25
2021-01-29,0,0,0,0,0,2,2,20,5,0,0,0,67.71,3,0.0288,0:00:34
2021-01-30,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0:00:00
2021-01-31,0,0,0,0,0,1,2,18.18,11,0,0,0,45.08,3,0.0192,0:00:22
2021-02-01,3,4,0,9,2,10,18,28.3,53,1,1,2,46.66,61,0.5799,0:00:34
2021-02-02,0,0,0,1,0,5,5,33.33,30,0,0,0,59.91,13,0.7969,0:03:40
2021-02-03,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0:00:00
2021-02-04,2,0,0,3,4,2,15,33.33,39,0,0,4,65.87,32,0.4419,0:00:49
2021-02-05,0,0,0,14,4,14,33,11.9,84,1,1,4,34.95,68,1.5258,0:01:20
2021-02-06,0,0,0,2,2,3,8,43.75,16,0,0,2,34.2,15,0.2432,0:00:58
2021-02-07,0,0,0,0,0,2,4,4.55,22,0,0,0,54.07,7,0.2073,0:01:46
2021-02-08,0,0,0,1,1,6,10,13.33,30,0,0,1,34.39,12,0.2327,0:01:09
2021-02-09,4,0,0,17,4,17,24,10.62,113,1,1,4,31.22,64,1.5149,0:01:25
2021-02-10,0,0,0,0,1,2,2,19.57,46,0,0,1,30.64,11,0.2382,0:01:17
2021-02-11,4,0,3,0,0,2,4,10.53,19,0,0,0,45.15,6,0.2002,0:02:00
2021-02-12,0,1,0,2,1,0,2,10,20,0,0,1,78.54,6,0.2511,0:02:30
2021-02-13,0,1,0,10,6,2,5,12.82,39,0,0,3,49.01,15,0.4027,0:01:36
2021-02-14,1,0,0,11,2,14,19,15.89,107,1,3,-1,27.34,50,0.8675,0:01:02
2021-02-15,0,0,0,8,1,8,13,16.36,165,1,1,1,29.37,44,0.446,0:00:36
2021-02-16,0,0,0,1,0,2,3,3.57,28,0,0,0,44.89,5,0.0975,0:01:10
2021-02-17,0,0,0,0,0,1,2,0,8,0,0,0,25.29,2,0.0258,0:00:46
2021-02-18,0,0,0,9,0,8,10,16.43,140,4,4,0,17.35,38,3.6051,0:05:41
2021-02-19,0,0,0,4,0,5,6,11.29,62,2,2,0,18.15,10,1.0977,0:06:35
2021-02-20,0,0,0,0,0,2,3,8.89,45,0,0,0,5.39,5,0.1176,0:01:24
2021-02-21,0,0,0,13,1,3,5,12.14,140,0,1,1,4.21,23,0.3107,0:00:48
2021-02-22,6,1,0,15,7,19,35,7.66,261,1,1,7,26.15,78,1.5466,0:01:11
2021-02-23,1,1,0,2,0,5,9,16.67,36,0,0,-1,60.65,19,0.3474,0:01:05
2021-02-24,0,0,0,1,0,1,5,10.42,48,0,0,0,64.56,9,0.163,0:01:05
2021-02-25,0,0,0,0,1,1,6,9.09,66,0,0,1,61.61,11,0.1936,0:01:03
2021-02-26,0,1,0,7,1,9,15,7.45,94,1,1,1,68.83,21,0.5183,0:01:28
2021-02-27,1,0,0,15,0,10,22,10.71,224,0,0,0,22.01,39,0.795,0:01:13
2021-02-28,0,2,0,1,0,1,6,4.11,73,0,0,0,51.51,14,0.2357,0:01:00
2021-03-01,0,0,0,3,1,2,4,6.17,81,0,0,1,46,7,0.1267,0:01:05
2021-03-02,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0:00:00
2021-03-03,1,0,0,1,0,2,4,11.54,26,0,0,0,54.85,5,0.0658,0:00:47
2021-03-04,1,0,0,0,0,1,2,7.14,28,0,0,0,34.98,2,0.0225,0:00:40
2021-03-05,2,0,0,0,0,0,4,10,30,0,0,0,28.37,4,0.0552,0:00:49
2021-03-06,0,0,0,0,0,1,3,10,30,0,0,0,52.53,3,0.0573,0:01:08
2021-03-07,0,1,0,0,0,2,2,9.52,21,0,0,0,88.81,3,0.0814,0:01:37
2021-03-08,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0:00:00
2021-03-09,2,0,0,1,0,2,3,0,30,0,0,0,21.46,3,0.1037,0:02:04
2021-03-10,0,0,0,0,0,0,1,9.09,11,0,0,0,28.95,1,0.0069,0:00:24
2021-03-11,0,0,0,0,0,1,2,4.26,47,0,0,0,70.74,2,0.0399,0:01:11
2021-03-12,0,0,0,0,1,1,1,0,49,0,0,1,88.76,1,0.0219,0:01:19
2021-03-13,0,0,0,0,0,3,3,6.56,61,0,0,0,25.29,5,0.0366,0:00:26
2021-03-14,1,0,0,7,1,7,7,3.92,153,1,1,1,10.18,15,1.6613,0:06:38
2021-03-15,0,0,0,7,3,6,11,4.49,178,0,1,3,15.15,25,1.9454,0:04:40
2021-03-16,4,0,0,11,1,9,14,5.19,385,2,2,1,13.17,40,4.6124,0:06:55
2021-03-17,1,0,0,4,2,7,12,3.1,226,0,0,2,5.77,20,0.3118,0:00:56
2021-03-18,6,0,0,5,1,12,14,5.32,263,1,1,0,10.88,23,4.1594,0:10:51
2021-03-19,1,0,0,22,7,18,29,3.96,782,2,5,7,11.06,93,10.8806,0:07:01
2021-03-20,0,0,0,5,2,6,10,2.83,283,1,1,2,11.66,21,1.773,0:05:03
2021-03-21,8,0,0,14,2,16,20,6.79,589,2,3,2,12.47,61,7.3175,0:07:11
2021-03-22,2,0,1,26,0,23,27,7.26,482,2,2,0,9.98,87,3.9636,0:02:44
2021-03-23,4,0,0,9,0,17,19,5.9,322,1,1,0,9.5,39,5.6536,0:08:41
2021-03-24,1,0,0,14,0,18,20,5.87,460,2,2,0,12.61,54,20.5516,0:22:50
2021-03-25,2,0,0,6,0,9,18,8.11,148,1,1,0,12.47,28,6.3724,0:13:39
2021-03-26,0,0,0,0,0,4,7,4.52,155,0,0,0,1.04,24,0.2275,0:00:34
2021-03-27,1,0,1,8,1,15,19,10,230,1,1,1,8.58,43,7.0402,0:09:49
2021-03-28,2,0,0,5,0,12,15,7.05,227,1,3,0,11.29,26,2.4838,0:05:43
2021-03-29,4,0,1,16,2,23,46,11.46,384,2,2,1,6.36,93,4.4849,0:02:53
2021-03-30,11,0,0,17,3,16,105,17.48,618,1,1,3,13.6,143,9.168,0:03:50
2021-03-31,7,0,0,6,0,12,51,14.97,374,1,1,0,11.56,84,4.8584,0:03:28
2021-04-01,4,0,0,4,1,6,80,14.82,479,0,1,1,10.68,97,1.0956,0:00:40
2021-04-02,13,0,0,18,0,26,143,13.02,945,2,2,0,9.77,188,5.1782,0:01:39
2021-04-03,4,0,0,7,2,10,49,8.72,436,1,2,2,9.34,76,0.8696,0:00:41
2021-04-04,3,0,0,3,1,15,50,7.05,624,0,0,0,7.23,89,0.9157,0:00:37
2021-04-05,2,0,0,15,0,19,42,11.55,277,1,3,0,11.61,75,0.506,0:00:24
2021-04-06,4,2,0,12,8,20,46,6.79,692,1,1,4,17.93,91,1.4691,0:00:58
2021-04-07,3,4,0,6,3,8,23,7.18,348,0,0,3,15.13,37,0.4108,0:00:39
2021-04-08,2,0,0,1,1,4,20,11.38,167,0,0,-2,7.37,25,0.1092,0:00:15
2021-04-09,10,0,0,15,3,30,82,9.13,832,2,2,2,7.8,121,11.54,0:05:43
2021-04-10,5,0,1,7,0,12,69,10.44,527,1,1,0,11.01,91,2.0119,0:01:19
2021-04-11,6,1,0,9,4,10,50,8.45,509,0,0,1,9.72,79,1.2725,0:00:57
2021-04-12,1,1,0,2,0,4,17,7.17,237,0,0,0,36.78,32,0.5469,0:01:01
2021-04-13,5,0,0,5,1,11,113,8.43,1175,1,1,1,20.29,154,1.1656,0:00:27
2021-04-14,2,0,0,3,6,6,34,4.12,607,0,0,6,6.21,42,0.4031,0:00:34
2021-04-15,0,0,0,0,0,4,22,3.68,326,0,0,0,16.16,24,0.2885,0:00:43
2021-04-16,1,1,0,0,3,7,14,2.43,535,0,0,3,15.67,26,0.5802,0:01:20
2021-04-17,0,0,0,0,0,2,7,3.13,192,0,0,0,1.74,9,0.0521,0:00:20
2021-04-18,0,0,0,0,0,2,7,5.17,174,0,0,0,2.56,16,0.1803,0:00:40
2021-04-19,0,0,0,0,0,2,6,3.7,108,0,0,0,27.95,7,0.106,0:00:54
2021-04-20,6,0,0,10,0,21,23,10.31,262,1,1,0,8.07,47,13.6513,0:17:25
2021-04-21,0,0,0,15,5,25,31,14.29,336,1,1,5,3.79,70,10.8963,0:09:20
2021-04-22,7,0,0,36,10,32,70,15,600,2,2,10,2.95,142,22.6032,0:09:33
2021-04-23,2,1,0,12,0,19,31,11.08,334,1,1,0,8.21,58,14.7553,0:15:15
2021-04-24,4,0,0,15,5,31,49,11.06,696,1,1,5,3.13,101,22.6847,0:13:28
