Date,You­Tube Premi­um views
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,3
2021-02-02,0
2021-02-03,0
2021-02-04,2
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,4
2021-02-10,0
2021-02-11,4
2021-02-12,0
2021-02-13,0
2021-02-14,1
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,6
2021-02-23,1
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,1
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,1
2021-03-04,1
2021-03-05,2
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,2
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,1
2021-03-15,0
2021-03-16,4
2021-03-17,1
2021-03-18,6
2021-03-19,1
2021-03-20,0
2021-03-21,8
2021-03-22,2
2021-03-23,4
2021-03-24,1
2021-03-25,2
2021-03-26,0
2021-03-27,1
2021-03-28,2
2021-03-29,4
2021-03-30,11
2021-03-31,7
2021-04-01,4
2021-04-02,13
2021-04-03,4
2021-04-04,3
2021-04-05,2
2021-04-06,4
2021-04-07,3
2021-04-08,2
2021-04-09,10
2021-04-10,5
2021-04-11,6
2021-04-12,1
2021-04-13,5
2021-04-14,2
2021-04-15,0
2021-04-16,1
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,6
2021-04-21,0
2021-04-22,7
2021-04-23,2
2021-04-24,4
2021-04-25,0
2021-04-26,2
2021-04-27,0
2021-04-28,4
2021-04-29,4
2021-04-30,4
2021-05-01,2
2021-05-02,3
2021-05-03,10
2021-05-04,1
2021-05-05,8
2021-05-06,1
2021-05-07,4
2021-05-08,8
2021-05-09,4
2021-05-10,2
2021-05-11,1
2021-05-12,3
2021-05-13,2
2021-05-14,1
2021-05-15,3
2021-05-16,6
2021-05-17,7
2021-05-18,0
2021-05-19,1
2021-05-20,2
2021-05-21,2
2021-05-22,5
2021-05-23,2
2021-05-24,12
2021-05-25,4
2021-05-26,2
2021-05-27,7
2021-05-28,6
2021-05-29,2
2021-05-30,5
2021-05-31,3
2021-06-01,2
2021-06-02,2
2021-06-03,1
2021-06-04,5
2021-06-05,0
2021-06-06,5
2021-06-07,3
2021-06-08,3
2021-06-09,4
2021-06-10,12
2021-06-11,1
2021-06-12,0
2021-06-13,3
2021-06-14,1
2021-06-15,2
2021-06-16,1
2021-06-17,0
2021-06-18,4
2021-06-19,1
2021-06-20,16
2021-06-21,0
2021-06-22,2
2021-06-23,5
2021-06-24,1
2021-06-25,2
2021-06-26,11
2021-06-27,5
2021-06-28,1
2021-06-29,4
2021-06-30,3
2021-07-01,1
2021-07-02,0
2021-07-03,4
2021-07-04,2
2021-07-05,1
2021-07-06,0
2021-07-07,15
2021-07-08,18
2021-07-09,1
2021-07-10,53
2021-07-11,2
2021-07-12,5
2021-07-13,14
2021-07-14,3
2021-07-15,2
2021-07-16,2
2021-07-17,6
2021-07-18,1
2021-07-19,9
2021-07-20,30
2021-07-21,4
2021-07-22,3
2021-07-23,64
2021-07-24,2
2021-07-25,1
2021-07-26,0
2021-07-27,2
2021-07-28,0
2021-07-29,1
2021-07-30,0
2021-07-31,2
2021-08-01,0
2021-08-02,4
2021-08-03,2
2021-08-04,0
2021-08-05,3
2021-08-06,7
2021-08-07,0
2021-08-08,0
2021-08-09,3
2021-08-10,16
2021-08-11,11
2021-08-12,8
2021-08-13,11
2021-08-14,4
2021-08-15,5
2021-08-16,6
2021-08-17,5
2021-08-18,7
2021-08-19,1
2021-08-20,7
2021-08-21,2
2021-08-22,28
2021-08-23,13
2021-08-24,9
2021-08-25,12
2021-08-26,12
2021-08-27,17
2021-08-28,8
2021-08-29,6
2021-08-30,0
2021-08-31,0
2021-09-01,8
2021-09-02,5
2021-09-03,2
2021-09-04,10
2021-09-05,17
2021-09-06,23
2021-09-07,11
2021-09-08,16
2021-09-09,0
2021-09-10,0
2021-09-11,0
2021-09-12,4
2021-09-13,33
2021-09-14,64
2021-09-15,8
2021-09-16,5
2021-09-17,13
2021-09-18,4
2021-09-19,7
2021-09-20,8
2021-09-21,19
2021-09-22,1
2021-09-23,8
2021-09-24,17
2021-09-25,3
2021-09-26,18
2021-09-27,2
2021-09-28,16
2021-09-29,11
2021-09-30,34
2021-10-01,12
2021-10-02,4
2021-10-03,4
2021-10-04,12
2021-10-05,27
2021-10-06,15
2021-10-07,14
2021-10-08,15
2021-10-09,5
2021-10-10,4
2021-10-11,17
2021-10-12,16
2021-10-13,9
2021-10-14,22
2021-10-15,31
2021-10-16,13
2021-10-17,0
2021-10-18,20
2021-10-19,7
2021-10-20,9
2021-10-21,20
2021-10-22,17
2021-10-23,13
2021-10-24,10
2021-10-25,2
2021-10-26,3
2021-10-27,7
2021-10-28,21
2021-10-29,9
2021-10-30,0
2021-10-31,2
2021-11-01,11
2021-11-02,13
2021-11-03,28
2021-11-04,2
2021-11-05,18
2021-11-06,35
2021-11-07,14
2021-11-08,22
2021-11-09,11
2021-11-10,7
2021-11-11,4
2021-11-12,7
2021-11-13,3
2021-11-14,0
2021-11-15,9
2021-11-16,16
2021-11-17,7
2021-11-18,14
2021-11-19,42
2021-11-20,67
2021-11-21,20
2021-11-22,2
2021-11-23,4
2021-11-24,35
2021-11-25,35
2021-11-26,5
2021-11-27,3
2021-11-28,2
2021-11-29,1
2021-11-30,6
2021-12-01,2
2021-12-02,11
2021-12-03,8
2021-12-04,1
2021-12-05,0
2021-12-06,9
2021-12-07,4
2021-12-08,5
2021-12-09,53
2021-12-10,23
2021-12-11,3
2021-12-12,3
2021-12-13,5
2021-12-14,2
2021-12-15,4
2021-12-16,2
2021-12-17,5
2021-12-18,8
2021-12-19,2
2021-12-20,4
2021-12-21,13
2021-12-22,2
2021-12-23,6
2021-12-24,8
2021-12-25,2
2021-12-26,0
2021-12-27,3
2021-12-28,0
2021-12-29,3
2021-12-30,12
2021-12-31,7
