Date,YouTube Premium views
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,1
2020-09-10,0
2020-09-11,0
2020-09-12,2
2020-09-13,0
2020-09-14,1
2020-09-15,0
2020-09-16,0
2020-09-17,1
2020-09-18,1
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,1
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,2
2020-10-07,4
2020-10-08,1
2020-10-09,4
2020-10-10,14
2020-10-11,1
2020-10-12,0
2020-10-13,7
2020-10-14,2
2020-10-15,1
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,1
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,4
2020-10-27,0
2020-10-28,4
2020-10-29,1
2020-10-30,0
2020-10-31,0
2020-11-01,2
2020-11-02,2
2020-11-03,0
2020-11-04,3
2020-11-05,4
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,1
2020-11-10,0
2020-11-11,1
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,1
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,1
2020-11-21,7
2020-11-22,6
2020-11-23,10
2020-11-24,2
2020-11-25,1
2020-11-26,1
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,3
2020-12-02,1
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,2
2020-12-07,0
2020-12-08,1
2020-12-09,0
2020-12-10,5
2020-12-11,0
2020-12-12,0
2020-12-13,1
2020-12-14,1
2020-12-15,0
2020-12-16,0
2020-12-17,54
2020-12-18,26
2020-12-19,2
2020-12-20,2
2020-12-21,6
2020-12-22,5
2020-12-23,3
2020-12-24,9
2020-12-25,5
2020-12-26,0
2020-12-27,5
2020-12-28,1
2020-12-29,1
2020-12-30,0
2020-12-31,0
2021-01-01,2
2021-01-02,1
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,1
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,1
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,1
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,1
2021-02-02,2
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,1
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,1
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,1
2021-04-03,1
2021-04-04,3
2021-04-05,1
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,1
2021-04-20,0
2021-04-21,0
2021-04-22,1
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,1
2021-04-28,1
2021-04-29,2
2021-04-30,0
